15:27:34 11/3/2025, 18.80,28.50,
15:27:35 11/3/2025, 18.80,28.50,
15:27:37 11/3/2025, 18.80,28.50,
15:27:39 11/3/2025, 18.80,28.50,
15:27:41 11/3/2025, 18.80,28.50,
15:27:43 11/3/2025, 18.80,28.50,
15:27:45 11/3/2025, 18.80,28.50,
15:27:47 11/3/2025, 18.80,28.50,
15:27:49 11/3/2025, 18.80,28.50,
15:27:52 11/3/2025, 18.80,28.50,
15:27:54 11/3/2025, 18.80,28.50,
15:27:56 11/3/2025, 18.80,28.50,
15:27:58 11/3/2025, 18.80,28.50,
15:28:00 11/3/2025, 18.80,28.50,
15:28:02 11/3/2025, 18.80,28.50,
15:28:05 11/3/2025, 18.80,28.50,
15:28:09 11/3/2025, 26.50,28.50,
15:28:09 11/3/2025, 26.50,28.50,
15:28:12 11/3/2025, 26.50,25.50,
15:28:12 11/3/2025, 26.50,25.50,
15:28:13 11/3/2025, 41.80,32.50,
15:28:15 11/3/2025, 41.80,32.50,
15:28:16 11/3/2025, 41.80,32.50,
15:28:18 11/3/2025, 41.80,32.50,
15:28:20 11/3/2025, 33.30,26.00,
15:28:22 11/3/2025, 33.30,26.00,
15:28:24 11/3/2025, 33.30,26.00,
15:28:25 11/3/2025, 33.30,26.00,
15:28:31 11/3/2025, 33.30,22.00,
20:53:51 23/3/2025, 26.20,25.00
20:53:58 23/3/2025, 26.20,25.00
20:54:05 23/3/2025, 26.20,25.00
20:54:12 23/3/2025, 26.20,25.00
20:54:19 23/3/2025, 26.20,25.00
20:54:27 23/3/2025, 26.20,25.00
20:54:33 23/3/2025, 26.20,25.00
20:54:40 23/3/2025, 26.20,25.00
20:54:46 23/3/2025, 26.20,25.00
20:54:54 23/3/2025, 26.20,25.00
20:55:02 23/3/2025, 26.20,25.00
20:55:10 23/3/2025, 39.20,25.00
20:55:16 23/3/2025, 39.20,25.00
20:55:22 23/3/2025, 39.20,25.00
15:17:34 28/3/2025, 26.20,25.00
15:17:40 28/3/2025, 26.20,25.00
15:26:58 28/3/2025, 26.20,25.00
15:27:05 28/3/2025, 45.10,25.00
15:27:12 28/3/2025, 45.10,25.00
15:27:20 28/3/2025, 32.40,25.00
15:27:45 28/3/2025, 32.40,25.00
15:27:51 28/3/2025, 32.40,25.00
15:27:57 28/3/2025, 32.40,25.00
15:36:16 28/3/2025, 26.20,25.00,
15:36:20 28/3/2025, 26.20,25.00,
15:36:33 28/3/2025, 69.80,12.50,
15:36:40 28/3/2025, 69.80,12.50,
15:36:49 28/3/2025, 19.70,12.50,
15:37:07 28/3/2025, 19.70,12.50,
15:37:21 28/3/2025, 39.20,61.00,
15:37:33 28/3/2025, 39.20,61.00,
15:37:37 28/3/2025, -9.20,61.00,
15:39:27 28/3/2025, 29.00,83.50,
15:40:13 28/3/2025, 29.00,83.50,
15:40:17 28/3/2025, 29.00,83.50,
15:41:49 28/3/2025, 29.00,83.50,
15:41:54 28/3/2025, 29.00,83.50,
15:52:04 28/3/2025, 26.20,25.00
15:52:09 28/3/2025, 26.20,25.00
15:52:20 28/3/2025, 26.20,25.00
15:52:26 28/3/2025, 26.20,25.00
15:52:31 28/3/2025, 26.20,25.00
15:52:37 28/3/2025, 26.20,25.00
15:52:42 28/3/2025, 26.20,25.00
15:52:48 28/3/2025, 26.20,25.00
15:52:54 28/3/2025, 26.20,25.00
